NAME_CD	IL_STATUS	IN_STATUS	MI_STATUS	WI_STATUS	FEDERAL_STATUS	TE_NOTES
LYOB		R  				
LYTR		T  				name used on IN state list
LYVI4			T  			
MASTP		R  				"just species listed in IN, but this is the only variety of the species in North America"
MEBE2	E  					
MELI2		R  				
MEMU	E  					
MENI		T  		SC 		
METR3	T  					
MEVI	E  			SC 		
MEVI2	T  	E  				
MEVI3			T  			
MIAL2			X  			
MICU6	E  			SC 		synonym used on IL and WI state lists
MIEF	E  	R  				
MIGLF	E  					
MIHI	E  					
MIPA6	T  					name use on IL list
MISC		E  	X  			
MOBR2		E  				
MODI			X  			
MORU2			T  			
MUCU3		E  	X  			
MYLA		E  		SC 		
MYPI		E  				
MYVE3		T  				
NADI2		R  		SC 		
NELU			T  			
NOBI2		R  				
NOCU	E  			SC 		name used on IL and WI state lists
NUAD2				SC 		
NYSY				SC 		
OEPE	T  	T  				
ONBEH		E  	X  			synonyms used on IN and MI state lists
ONHI		E  				name used on IN state list
ONMOH			X  			name used on MI state list
OPHU				SC 		
OPPU3				SC 		
ORAS		E  				
ORFA	E  	E  	T  	T  		
ORPU4		X  				name used on IN state list
ORRA2		T  				name used on IN state list
ORSE		X  				synonym used on IN state list
ORUN				SC 		
OXAR		T  				
OXVI			T  			
PAAN10		E  				this plus another synonym both used on IN list
PABO8		R  				name used on IN state list
PACO29		R  				name used on IN state list
PACOA2		R  				name used on IN state list
PAFA3			SC 			
PAIN3				T  		
PALE7		T  	T  			name used on IN and MI state lists
PALU4		E  				name used on IN state list
PAMA10		X  				this plus another synonym both used on IN list
PAMI6			SC 			name used on MI state list
PAPO4			E  			name used on MI state list
PAQU			T  			
PASC10		E  				name used on IN state list
PASU6		X  				name used on IN state list
PAVE2		T  	T  			
PAWI5		R  		SC 		name used on IN and WI state lists
PAYA2		T  				name used on IN state list
PEAM2		E  				
PEAR6				SC 		
PEBR10	E  					name used on IL state list
PECA7			T  			
PEGR5			E  			
PEGR7	E  					
PEHI				SC 		
PEPA7	E  		SC 	SC 		name used on MI amd WI state lists; synonym used on IL state list
PETU	E  	X  				
PHBI3			T  	SC 		
