NAME_CD	NAME	SOURCE_CD
BOBI	sparselobe grapefern	UP
BOCA5	Iowa moonwort	UP
BOCU	sideoats grama	UP
BOCUC2	sideoats grama	UP
BOCY	smallspike false nettle	UP
BODE2	claspingleaf doll's daisy	UP
BODI	smallhead doll's daisy	UP
BODI2	cutleaf grapefern	UP
BODID	smallhead doll's daisy	UP
BODII	smallhead doll's daisy	UP
BOEHM	false nettle	UP
BOGR2	blue grama	UP
BOHE5	western moonwort	UP
BOHI2	hairy grama	UP
BOHIH	hairy grama	UP
BOLA	lanceleaf grapefern	UP
BOLA2	silver beardgrass	UP
BOLAA2	lanceleaf grapefern	UP
BOLAT	silver beardgrass	UP
BOLTO	doll's daisy	UP
BOLU	common moonwort	UP
BOMA2	matricary grapefern	UP
BOMI	Mingan moonwort	UP
BOMO2	little goblin moonwort	UP
BOMU	leathery grapefern	UP
BOOF	common borage	UP
BOON	bluntlobe grapefern	UP
BOPA12	pale botrychium	UP
BOPS	false daisyleaf moonwort	UP
BORAG	borage	UP
BORU	ternate grapefern	UP
BOSI	little grapefern	UP
BOSP4	spathulate botrychium	UP
BOTHR	beardgrass	UP
BOTRY	grapefern	UP
BOUTE	grama	UP
BOVI	rattlesnake fern	UP
BRACH2	shorthusk	UP
BRAR3	Australian brome	UP
BRAR5	field brome	UP
BRASE	brasenia	UP
BRASS2	mustard	UP
BRAYA	northern-rockcress	UP
BRBR5	rattlesnake brome	UP
BRCA6	rescuegrass	UP
BRCI2	fringed brome	UP
BRCIC3	fringed brome	UP
BRCO4	meadow brome	UP
BRDI3	ripgut brome	UP
BRER2	bearded shorthusk	UP
BRER3	erect brome	UP
BREU	false boneset	UP
BREUC	false boneset	UP
BREUE	false boneset	UP
BREUT	false boneset	UP
BRGL	smooth northern-rockcress	UP
BRGLG	smooth northern-rockcress	UP
BRHO2	soft brome	UP
BRHOH	soft brome	UP
BRHOM	soft brome	UP
BRHU	low northern-rockcress	UP
BRICK	brickellbush	UP
BRIN2	smooth brome	UP
BRINA	Pumpelly's brome	UP
BRIND	smooth brome	UP
BRINI	smooth brome	UP
